vlsp2025_private_0001.wav	neutral	em hãy tưởng tượng thôi em nghĩ là bạn đó chỉ là để tóc dài xong rồi cột lên thành
vlsp2025_private_0002.wav	neutral	đấy là cái bé thôi hông báo chứ không phải nhân viên
vlsp2025_private_0003.wav	neutral	những lời đường mật trong thư gửi cho hoàng tử
vlsp2025_private_0004.wav	neutral	là bà đã hối hợp cái gì bỏ hai đứa tụi tui
vlsp2025_private_0005.wav	neutral	phải rồi
vlsp2025_private_0006.wav	neutral	lượng người đến mua các mặt hàng thiết yếu tăng hơn so với trước
vlsp2025_private_0007.wav	neutral	nếu bạn nắm được luật thì cứ phải gọi công an đến đây giải quyết nha này luật của anh là luật rừng
vlsp2025_private_0008.wav	neutral	canh cửa cho chị vào bọn bao nhận là tao biết đó là người nhà có bảy em ạ à
vlsp2025_private_0009.wav	neutral	chị làm việc với chú đấy yêu cầu chứ lại gọi người khán giả đi làm vin ông yêu cầu anh chúng lại làm việc sáng đi làm việc với chú
vlsp2025_private_0010.wav	neutral	nhiệm kì mới của ông sẽ bắt đầu vào ngày một tháng một hai nghìn không trăm hai mươi hai
vlsp2025_private_0011.wav	neutral	được chương trình mời á thì
vlsp2025_private_0012.wav	neutral	vừa nói anh được cái chỉ cô làm sao tại sao cô chị hiểu làm sao anh làm nhiệm chị tôi
vlsp2025_private_0013.wav	neutral	các quan chức cho biết nga đã thúc đẩy một cuộc họp báo chung để thông báo về các cuộc đàm phán nhưng mĩ đã từ chối
vlsp2025_private_0014.wav	neutral	mà về mà mất dải với mẹ mày là không được nữa mày
vlsp2025_private_0015.wav	neutral	cả hai đều đã có kinh nghiệm điều trị bệnh nhân nhiễm covid mười chín trong các đợt dịch trước đó
vlsp2025_private_0016.wav	neutral	thế bà ra kiểu kia không chơi là kiểu kiểu nhện không chơi thì mày bảo là vợ mày chơi kiểu gì hả
vlsp2025_private_0017.wav	neutral	em có muốn hai vợ chồng em đùng xù mấy cái vụ kiểu trẻ con linh tinh mà lên mạng cãi nhau ấy hiểu hông
vlsp2025_private_0018.wav	neutral	ờ nhận được tấm bằng thạc sĩ loại xuất sắc
vlsp2025_private_0019.wav	neutral	có mẹ mày kia mày nghe rõ chưa
vlsp2025_private_0020.wav	neutral	khi xây dựng công ti thì đã xác định là đầu tư bốn căn nhà đó để sau này giấy chứng nhận ổn định hết
vlsp2025_private_0021.wav	neutral	mình cân bằng lại cuộc sống của mình
vlsp2025_private_0022.wav	neutral	đi ra ngoài nói chuyện anh chỉ hai không biết gì hết á bà ơi
vlsp2025_private_0023.wav	neutral	một người sử dụng cho nhữngngười thân của tôi
vlsp2025_private_0024.wav	neutral	tiện có ba người là như thế nào để không chết tộc chứ ạ
vlsp2025_private_0025.wav	neutral	bà có lẽ tôi với cô vì vậy bà ngoại muốn tốt cho con rồi
vlsp2025_private_0026.wav	neutral	rồi bát có nghĩa là một hợp đồng quán cháo tôi sẽ đời bao nhiêu tiền hông
vlsp2025_private_0027.wav	neutral	ta còn không biết cái chữ cái tên của mày là gì luôn mà mẹ lại dám mà lên hải
vlsp2025_private_0028.wav	neutral	đứa con trai duy nhất của tôi
vlsp2025_private_0029.wav	neutral	sứ mệnh của tôi là làm tri kỉ và bệ phóng kết nối rất đặc việt với hàng trăm nghìn doanh nghiệp hàng chục triệu khách hàng tại việt nam
vlsp2025_private_0030.wav	neutral	tôi nói bạn này tôi bạn chưa từng gặp nhau và cũng chưa được bên nhau tôi nó luôn bạn nhờ ờ nhà
vlsp2025_private_0031.wav	neutral	là cái phương pháp để cho người ta cân bằng
vlsp2025_private_0032.wav	neutral	vầng ngày hôm qua thì cả nước cũng đã có gần sáu mươi mốt nghìn người
vlsp2025_private_0033.wav	neutral	một gia đình của tôi lên viện mẹ nguyễn thị bố mẹ
vlsp2025_private_0034.wav	neutral	một cái người đàn ông đó
vlsp2025_private_0035.wav	neutral	mà chở mẹ đó con nghe chưa
vlsp2025_private_0036.wav	neutral	mày không đủ cơ sở gì để ba cái tao đó mình cứ cho là
vlsp2025_private_0037.wav	neutral	tổ chức truyền thông này có tên là rô pháp li ca
vlsp2025_private_0038.wav	neutral	hôm qua thành phố hồ chí minh đã bước vào ngày đầu tiên dạng cách xã hội
vlsp2025_private_0039.wav	neutral	bạn đời sống thì có thể nói rằng
vlsp2025_private_0040.wav	neutral	việt nam đã tiêm chủng cho trên một phẩy năm lăm triệu người
vlsp2025_private_0041.wav	neutral	mà là hạ là bác sĩ nổi tiếng nhất vùng này
vlsp2025_private_0042.wav	neutral	tao hổ tụi mày chịu nói hay không
vlsp2025_private_0043.wav	neutral	còn mình mình mình nói sơ một chút về ưu điểm và khuyết điểm của mình đấy không dạ ưu điểm của con là con có thể sử dụng thằng thạo
vlsp2025_private_0044.wav	neutral	còn mọi chuyện khác tôi có thể tự lo được mà
vlsp2025_private_0045.wav	neutral	chị quỳnh à bà chị
vlsp2025_private_0046.wav	neutral	để có thể là chế những cái bài văn em nó thật sự là cũng không có ai như mấy bà
